"","Spell","Rune"
"1","Locust Swarm","Pestilence"
"2","Haunt","Resentful Spirits"
"3","Piranhas","Piranhado"
"4","Horrify","Stalker"
"5","Spirit Walk","Jaunt"
"6","Soul Harvest","Siphon"
"7","Pierce the Veil","Passive"
"8","Gruesome Feast","Passive"
"9","Spirit Vessel","Passive"
"10","Creeping Death","Passive"
"11","Haunt","Resentful Spirits"
"12","Locust Swarm","Devouring Swarm"
"13","Spirit Walk","Jaunt"
"14","Piranhas","Piranhado"
"15","Soul Harvest","Siphon"
"16","Horrify","Frightening Aspect"
"17","Spirit Vessel","Passive"
"18","Creeping Death","Passive"
"19","Grave Injustice","Passive"
"20","Pierce the Veil","Passive"
"21","Fetish Army","Legion of Daggers"
"22","Spirit Barrage","Manitou"
"23","Hex","Angry Chicken"
"24","Spirit Walk","Jaunt"
"25","Soul Harvest","Vengeful Spirit"
"26","Horrify","Stalker"
"27","Spirit Vessel","Passive"
"28","Fierce Loyalty","Passive"
"29","Circle of Life","Passive"
"30","Tribal Rites","Passive"
"31","Haunt","Resentful Spirits"
"32","Piranhas","Piranhado"
"33","Spirit Walk","Jaunt"
"34","Horrify","Frightening Aspect"
"35","Soul Harvest","Siphon"
"36","Locust Swarm","Devouring Swarm"
"37","Pierce the Veil","Passive"
"38","Creeping Death","Passive"
"39","Gruesome Feast","Passive"
"40","Grave Injustice","Passive"
"41","Haunt","Resentful Spirits"
"42","Piranhas","Piranhado"
"43","Spirit Walk","Jaunt"
"44","Soul Harvest","Siphon"
"45","Locust Swarm","Pestilence"
"46","Horrify","Face of Death"
"47","Creeping Death","Passive"
"48","Pierce the Veil","Passive"
"49","Spirit Vessel","Passive"
"50","Grave Injustice","Passive"
"51","Piranhas","Piranhado"
"52","Mass Confusion","Paranoia"
"53","Spirit Walk","Jaunt"
"54","Horrify","Face of Death"
"55","Big Bad Voodoo","Slam Dance"
"56","Fetish Army","Tiki Torchers"
"57","Grave Injustice","Passive"
"58","Jungle Fortitude","Passive"
"59","Tribal Rites","Passive"
"60","Spirit Vessel","Passive"
"61","Haunt","Resentful Spirits"
"62","Piranhas","Piranhado"
"63","Spirit Walk","Jaunt"
"64","Horrify","Frightening Aspect"
"65","Locust Swarm","Pestilence"
"66","Soul Harvest","Siphon"
"67","Grave Injustice","Passive"
"68","Pierce the Veil","Passive"
"69","Creeping Death","Passive"
"70","Spirit Vessel","Passive"
"71","Plague of Toads","Rain of Toads"
"72","Fetish Army","Legion of Daggers"
"73","Spirit Walk","Jaunt"
"74","Summon Zombie Dogs","Life Link"
"75","Big Bad Voodoo","Slam Dance"
"76","Horrify","Stalker"
"77","Fierce Loyalty","Passive"
"78","Spirit Vessel","Passive"
"79","Gruesome Feast","Passive"
"80","Pierce the Veil","Passive"
"81","Locust Swarm","Pestilence"
"82","Haunt","Resentful Spirits"
"83","Spirit Walk","Jaunt"
"84","Soul Harvest","Siphon"
"85","Piranhas","Piranhado"
"86","Horrify","Stalker"
"87","Spirit Vessel","Passive"
"88","Grave Injustice","Passive"
"89","Pierce the Veil","Passive"
"90","Gruesome Feast","Passive"
"91","Haunt","Resentful Spirits"
"92","Spirit Walk","Jaunt"
"93","Soul Harvest","Siphon"
"94","Horrify","Frightening Aspect"
"95","Locust Swarm","Pestilence"
"96","Piranhas","Piranhado"
"97","Grave Injustice","Passive"
"98","Creeping Death","Passive"
"99","Spirit Vessel","Passive"
"100","Pierce the Veil","Passive"
"101","Plague of Toads","Rain of Toads"
"102","Horrify","Face of Death"
"103","Spirit Walk","Jaunt"
"104","Sacrifice","Provoke the Pack"
"105","Fetish Army","Legion of Daggers"
"106","Big Bad Voodoo","Slam Dance"
"107","Fierce Loyalty","Passive"
"108","Gruesome Feast","Passive"
"109","Spirit Vessel","Passive"
"110","Pierce the Veil","Passive"
"111","Haunt","Resentful Spirits"
"112","Locust Swarm","Devouring Swarm"
"113","Horrify","Frightening Aspect"
"114","Spirit Walk","Jaunt"
"115","Soul Harvest","Languish"
"116","Piranhas","Piranhado"
"117","Spirit Vessel","Passive"
"118","Grave Injustice","Passive"
"119","Pierce the Veil","Passive"
"120","Creeping Death","Passive"
"121","Locust Swarm","Pestilence"
"122","Haunt","Resentful Spirits"
"123","Spirit Walk","Jaunt"
"124","Soul Harvest","Vengeful Spirit"
"125","Piranhas","Piranhado"
"126","Horrify","Frightening Aspect"
"127","Gruesome Feast","Passive"
"128","Grave Injustice","Passive"
"129","Creeping Death","Passive"
"130","Spirit Vessel","Passive"
"131","Piranhas","Piranhado"
"132","Horrify","Frightening Aspect"
"133","Mass Confusion","Paranoia"
"134","Fetish Army","Legion of Daggers"
"135","Big Bad Voodoo","Slam Dance"
"136","Spirit Walk","Jaunt"
"137","Tribal Rites","Passive"
"138","Jungle Fortitude","Passive"
