"","Spell","Rune"
"1","Way of the Hundred Fists","Fists of Fury"
"2","Breath of Heaven","Infused with Light"
"3","Dashing Strike","Radiance"
"4","Sweeping Wind","Inner Storm"
"5","Epiphany","Desert Shroud"
"6","Mantra of Conviction","Annihilation"
"7","Harmony","Passive"
"8","Seize the Initiative","Passive"
"9","Alacrity","Passive"
"10","Beacon of Ytar","Passive"
"11","Fists of Thunder","Quickening"
"12","Epiphany","Desert Shroud"
"13","Breath of Heaven","Infused with Light"
"14","Sweeping Wind","Inner Storm"
"15","Dashing Strike","Blinding Speed"
"16","Mantra of Salvation","Agility"
"17","Alacrity","Passive"
"18","Harmony","Passive"
"19","Beacon of Ytar","Passive"
"20","Seize the Initiative","Passive"
"21","Fists of Thunder","Thunderclap"
"22","Sweeping Wind","Cyclone"
"23","Way of the Hundred Fists","Fists of Fury"
"24","Blinding Flash","Faith in the Light"
"25","Breath of Heaven","Blazing Wrath"
"26","Mantra of Conviction","Overawe"
"27","Alacrity","Passive"
"28","Fleet Footed","Passive"
"29","Seize the Initiative","Passive"
"30","Beacon of Ytar","Passive"
"31","Crippling Wave","Breaking Wave"
"32","Epiphany","Desert Shroud"
"33","Mantra of Conviction","Overawe"
"34","Serenity","Ascension"
"35","Inner Sanctuary","Forbidden Palace"
"36","Cyclone Strike","Implosion"
"37","Beacon of Ytar","Passive"
"38","Near Death Experience","Passive"
"39","Harmony","Passive"
"40","The Guardian's Path","Passive"
"41","Wave of Light","Pillar of the Ancients"
"42","Breath of Heaven","Infused with Light"
"43","Dashing Strike","Blinding Speed"
"44","Mantra of Salvation","Agility"
"45","Sweeping Wind","Inner Storm"
"46","Epiphany","Desert Shroud"
"47","Alacrity","Passive"
"48","Seize the Initiative","Passive"
"49","Beacon of Ytar","Passive"
"50","Harmony","Passive"
"51","Crippling Wave","Breaking Wave"
"52","Inner Sanctuary","Forbidden Palace"
"53","Serenity","Ascension"
"54","Cyclone Strike","Implosion"
"55","Epiphany","Insight"
"56","Mantra of Conviction","Annihilation"
"57","Chant of Resonance","Passive"
"58","Unity","Passive"
"59","Beacon of Ytar","Passive"
"60","Sixth Sense","Passive"
"61","Way of the Hundred Fists","Hands of Lightning"
"62","Mystic Ally","Fire Ally"
"63","Inner Sanctuary","Forbidden Palace"
"64","Dashing Strike","Way of the Falling Star"
"65","Sweeping Wind","Cyclone"
"66","Mantra of Healing","Time of Need"
"67","Sixth Sense","Passive"
"68","Determination","Passive"
"69","Unity","Passive"
"70","Harmony","Passive"
"71","Way of the Hundred Fists","Fists of Fury"
